genre,median
Fantasy,50.47826086956522
Action,51.17391304347826
Horror,51.65714285714286
Family,52.333333333333336
Sci-Fi,54.0
Comedy,55.09090909090909
Sport,55.285714285714285
Thriller,55.44
Adventure,56.075471698113205
Mystery,56.9
Romance,57.11764705882353
Crime,57.983050847457626
Drama,63.8375
Animation,64.35714285714286
Biography,65.52380952380952
Musical,66.33333333333333
History,66.8
War,67.83333333333333
Western,68.66666666666667
