tconst,primaryTitle,titleType,genres,averageRating,numVotes,country,rt_rating,mc_rating
tt10481868,Black Christmas,movie,"Horror,Mystery,Thriller",3.4,14190.0,"USA, New Zealand",40,49
tt0095560,Mac and Me,movie,"Adventure,Family,Fantasy",3.4,14263.0,USA,7,26
tt0295254,Feardotcom,movie,"Crime,Horror,Thriller",3.4,21131.0,"UK, Germany, Luxembourg, USA, Canada",3,16
tt0295427,The Master of Disguise,movie,"Adventure,Comedy,Family",3.4,24525.0,USA,1,12
tt0115624,Barb Wire,movie,"Action,Sci-Fi",3.4,27305.0,USA,28,40
tt0329028,Dumb and Dumberer: When Harry Met Lloyd,movie,Comedy,3.4,38815.0,USA,10,19
tt1666186,Vampires Suck,movie,"Comedy,Horror",3.4,48155.0,USA,4,18
tt0327554,Catwoman,movie,"Action,Crime,Fantasy",3.4,115279.0,USA,9,27
tt0157262,2001: A Space Travesty,movie,"Comedy,Sci-Fi",3.5,11897.0,"Canada, Germany",,
tt1153706,Dance Flick,movie,"Action,Comedy,Music",3.5,12191.0,USA,18,40
tt0462395,Larry the Cable Guy: Health Inspector,movie,"Comedy,Romance",3.5,13125.0,USA,5,21
tt3138104,The Hungover Games,movie,"Adventure,Comedy,Fantasy",3.5,14651.0,USA,,
tt4667094,Fifty Shades of Black,movie,Comedy,3.5,20879.0,USA,4,28
tt0372873,Dragon Wars: D-War,movie,"Action,Drama,Fantasy",3.5,24257.0,South Korea,29,33
tt1517489,Spy Kids 4-D: All the Time in the World,movie,"Action,Adventure,Animation",3.5,24376.0,USA,23,37
tt0795461,Scary Movie V,movie,Comedy,3.5,68980.0,USA,4,11
tt0800003,Delta Farce,movie,"Action,Adventure,Comedy",3.6,11010.0,USA,5,17
tt1185266,Stan Helsing,movie,"Comedy,Fantasy,Horror",3.6,13336.0,"Canada, USA",14,
tt1231277,S. Darko,movie,"Drama,Mystery,Sci-Fi",3.6,13719.0,USA,13,
tt7312940,Singularity,movie,"Action,Adventure,Drama",3.6,14418.0,"Switzerland, USA",,
tt0291502,Swept Away,movie,"Comedy,Romance",3.6,16499.0,"UK, Italy",5,18
tt0897361,I Know Who Killed Me,movie,"Horror,Mystery,Thriller",3.6,29194.0,USA,9,16
tt0110857,Police Academy: Mission to Moscow,movie,"Comedy,Crime",3.6,33169.0,USA,0,11
tt0120185,Spice World,movie,"Comedy,Family,Music",3.6,35312.0,UK,36,32
tt0275022,Crossroads,movie,"Comedy,Drama,Romance",3.6,39602.0,USA,15,27
tt1552211,The Last Days of American Crime,movie,"Action,Crime,Drama",3.7,10783.0,USA,0,15
tt0806147,Extreme Movie,movie,Comedy,3.7,11016.0,USA,,
tt3477064,Recep Ivedik 4,movie,Comedy,3.7,16163.0,Turkey,,
tt0308208,Ballistic: Ecks vs. Sever,movie,"Action,Crime,Mystery",3.7,19844.0,"USA, Germany",0,19
tt0158622,The Flintstones in Viva Rock Vegas,movie,"Comedy,Family,Romance",3.7,22980.0,USA,25,27
tt0190374,Dungeons & Dragons,movie,"Action,Adventure,Fantasy",3.7,32961.0,"USA, Czech Republic, Canada",10,14
tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,movie,"Action,Adventure,Comedy",3.7,35784.0,USA,20,38
tt0432291,The Fog,movie,"Horror,Mystery",3.7,36332.0,"USA, France",4,27
tt1714203,Piranha 3DD,movie,"Comedy,Horror,Sci-Fi",3.7,41545.0,"USA, Japan",13,24
tt0085750,Jaws 3-D,movie,"Adventure,Horror,Thriller",3.7,42467.0,USA,11,27
tt0094074,Superman IV: The Quest for Peace,movie,"Action,Adventure,Sci-Fi",3.7,46888.0,"UK, USA",10,24
tt0119707,Mortal Kombat: Annihilation,movie,"Action,Adventure,Fantasy",3.7,53192.0,USA,4,11
tt0450345,The Wicker Man,movie,"Horror,Mystery,Thriller",3.7,66386.0,"USA, Mexico, Canada, Germany",,36
tt0368226,The Room,movie,Drama,3.7,86207.0,USA,24,9
tt2292959,The Canyons,movie,"Drama,Thriller",3.8,11201.0,USA,21,36
tt0106761,Double Dragon,movie,"Action,Adventure,Comedy",3.8,13079.0,"USA, France, Denmark",12,
tt0094824,Caddyshack II,movie,"Comedy,Sport",3.8,15311.0,USA,4,7
tt0492389,Furry Vengeance,movie,"Comedy,Family",3.8,16633.0,"USA, United Arab Emirates",,23
tt1014775,Beverly Hills Chihuahua,movie,"Adventure,Comedy,Drama",3.8,23778.0,"USA, Mexico",40,41
tt0076009,Exorcist II: The Heretic,movie,Horror,3.8,23880.0,USA,10,39
tt0180052,The Adventures of Pluto Nash,movie,"Action,Comedy,Sci-Fi",3.8,25431.0,"USA, Australia",6,12
tt1530509,Human Centipede 2: Tom Six Discusses the Story Concept,movie,Horror,3.8,37599.0,USA,29,17
tt0118661,The Avengers,movie,"Action,Adventure,Sci-Fi",3.8,43245.0,USA,5,12
