tconst,rt_rating,mc_rating
tt1075747,12,33
tt0110216,37,59
tt1608290,22,34
tt0130018,7,21
tt0357277,11,34
tt1407049,,
tt1945062,14,33
tt0270707,34,55
tt0160484,8,16
tt1756851,26,40
tt1231287,0,
tt1132449,18,38
tt1780762,40,39
tt8461224,18,22
tt1705952,20,
tt2386237,93,
tt0283632,39,31
tt5689068,46,53
tt0108539,10,16
tt0772193,19,35
tt1935897,30,42
tt4565520,0,15
tt0246544,11,27
tt0484562,,38
tt1975159,72,
tt0166276,19,40
tt2784512,71,44
tt1524575,20,38
tt0872230,10,25
tt0467110,16,37
tt0411705,24,43
tt0231402,11,37
tt0335121,4,24
tt0107387,27,17
tt0411951,0,
tt2339741,23,42
tt0454919,11,27
tt4986098,20,33
tt0326856,8,31
tt0108308,19,40
tt0119013,11,44
tt0113253,9,10
tt0452681,17,32
tt4191580,17,26
tt0089173,18,16
tt1265990,3,23
tt0881891,6,17
tt3387542,10,34
tt0421729,5,34
tt0387575,34,46
tt0398913,33,38
tt0400497,41,47
tt2479478,0,18
tt1572315,19,
tt1139668,10,30
tt1311067,22,35
tt0255798,30,43
tt0831887,14,30
tt0333780,36,47
tt0374536,24,34
tt0118615,38,37
tt1815862,12,33
tt1259571,29,44
tt11240506,67,
tt1268987,,
tt2215285,19,42
tt3082898,41,37
tt0120390,17,
tt0306734,36,51
tt0132910,20,
tt4558376,37,49
tt0476958,,
tt0389328,33,
tt0162983,12,33
tt1785635,27,50
tt2193265,22,25
tt0409011,14,
tt0120724,10,37
tt1911662,23,29
tt0865554,12,20
tt0134983,10,19
tt0315824,15,42
tt0360556,31,
tt0120701,12,41
tt0105128,22,35
tt1134854,30,43
tt0102719,8,
tt0104009,4,28
tt0480271,7,21
tt1452628,48,50
tt0242998,12,18
tt0285462,7,18
tt0118747,46,
tt0219653,,26
tt0211181,31,35
tt1366365,4,22
tt1314228,12,27
tt0265087,15,32
tt0104437,40,50
tt0983946,8,22
tt0101917,24,39
tt2103254,24,39
tt0228333,23,35
tt1029360,30,47
tt1093357,12,18
tt0962726,64,57
tt0114436,23,16
tt5033998,52,52
tt1320261,20,33
tt0109813,22,38
tt3605418,37,53
tt1045778,14,34
tt0305357,41,48
tt0120891,16,38
tt1324999,25,45
tt0117283,48,
tt0084814,23,43
tt0219952,22,31
tt0099697,0,28
tt2690138,53,
tt5884234,15,39
tt2070862,17,26
tt0239949,8,21
tt0110123,6,
tt2072230,47,
tt1653690,50,38
tt0186975,3,13
tt0330099,47,51
tt0120662,9,29
tt2960930,28,38
tt0811106,35,50
tt2923316,13,23
tt0106400,24,37
tt2974918,15,33
tt5322012,19,32
tt1659343,56,58
tt1766094,6,
tt1742650,17,38
tt0430770,14,27
tt1151922,5,7
tt2620590,29,40
tt0331468,12,37
tt0363282,11,33
tt7329656,45,43
tt2401807,12,28
tt0790604,6,28
tt0106375,23,
tt0120458,12,19
tt0282209,9,23
tt1198138,19,25
tt0257516,,31
tt0117331,43,
tt1649444,42,45
tt0765476,20,43
tt0455499,12,37
tt2473682,39,42
tt0093756,0,26
tt1540011,37,47
tt0808510,17,36
tt2243537,9,20
tt5246700,17,36
tt0085636,43,50
tt1273235,47,
tt0938330,10,16
tt1991245,18,
tt0086393,29,44
tt0171363,17,42
tt0356634,15,27
tt1325004,48,58
tt0401815,32,34
tt2205401,7,32
