averageRating,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
8.2,98.7,97.3,96.8,97.2,98.4,97.6,96.8,97.5,98.7,97.0,,,97.6,98.4,,98.5,98.7,90.8,96.2
8.3,98.9,98.1,97.8,98.4,98.8,98.4,97.8,98.2,99.1,98.1,,100.0,98.1,99.1,98.4,99.7,99.1,94.5,
8.4,99.1,98.7,98.6,99.2,99.0,98.9,98.5,98.6,99.3,98.8,99.8,,98.7,99.4,99.0,,99.4,97.2,98.1
8.5,99.4,99.1,99.5,99.6,99.3,99.2,99.0,98.9,,,99.9,,99.3,99.6,99.4,,99.7,98.8,99.0
8.6,99.6,99.4,100.0,,99.5,99.5,99.4,99.4,99.6,,100.0,,99.6,99.8,99.7,,99.9,99.5,
8.7,99.7,99.6,,99.8,99.7,99.6,99.6,99.8,99.9,99.3,,,99.8,99.9,99.8,,,100.0,
8.8,99.9,99.8,,,99.8,,99.7,,,,,,,100.0,100.0,,,,100.0
8.9,100.0,100.0,,100.0,99.9,99.7,99.8,100.0,,99.7,,,99.9,,,,,,
9.0,100.0,,,,100.0,99.8,99.9,,,100.0,,,,,,,,,
9.1,,,,,,99.9,,,,,,,100.0,,,,100.0,,
9.2,,,,,,100.0,100.0,,,,,,,,,,,,
9.3,,,,,100.0,,100.0,,,,,,,,,,,,
